n,p,k,blockNum,effectSizeScale,noiseScale,distanceNoiseScale,distanceReshufflePercentage,mode_regressionModel,seed,p_mse, p_auc, b_mse, b_auc, ars
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.0,1.0,1.0,nan,nan,1.505679216594527,0.5102666666666666,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.0,1.0,3.0,nan,nan,1.725824219258919,0.5606,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.5,0.0,2.0,0.11479999999999999,0.5080680000000001,0.6106261029061884,0.524606,0.05408690367669401,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.5,0.0,3.0,0.5188,0.49160555555555563,0.8960987377069061,0.50748,0.026029768085842852,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.5,1.0,1.0,nan,nan,1.5803623471105563,0.4957997777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.5,1.0,2.0,nan,nan,1.6452040076951504,0.4841933333333333,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,0.5,1.0,3.0,nan,nan,1.9226303187208191,0.5260671111111112,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,1.0,0.0,2.0,0.1016,0.5026022222222222,0.4512703484432776,0.5604422222222223,0.000966183574879227,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,1.0,1.0,1.0,nan,nan,1.5428493386674627,0.49579333333333336,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,1.0,1.0,2.0,nan,nan,1.6180310978014805,0.4788377777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.0,1.0,1.0,3.0,nan,nan,1.873708559616102,0.5232977777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.0,0.0,1.0,0.3124,0.5624515555555556,0.8208784568810291,0.5647633333333333,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.0,0.0,3.0,0.3506,0.5442726666666666,0.8156378446859613,0.5505164444444444,0.7220910918786607,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.0,1.0,1.0,nan,nan,1.5045728272744037,0.5149486666666666,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.0,1.0,2.0,nan,nan,1.504970038571782,0.4735786666666667,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.0,1.0,3.0,nan,nan,1.730297984053435,0.5637571111111112,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.5,0.0,1.0,0.3982,0.5170846666666666,0.7553166955120304,0.5288802222222222,0.028143021914648212,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.5,0.0,2.0,0.11280000000000001,0.4872673333333334,0.7426049720091811,0.49244066666666664,0.08383342425895618,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.5,0.0,3.0,0.2666,0.5118437777777778,1.2126609944946787,0.5179491111111111,0.06296296296296296,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.5,1.0,2.0,nan,nan,1.646087903670449,0.47837155555555555,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,0.5,1.0,3.0,nan,nan,1.852517438794554,0.530452,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,1.0,0.0,1.0,0.5920000000000001,0.5078257777777777,0.6121341990067869,0.5434713333333333,-0.001001001001001001,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,1.0,0.0,3.0,0.2888,0.515306888888889,1.1803589062792714,0.5166766666666667,-0.02,
100.0,50.0,5.0,10.0,1.0,0.5,0.1,1.0,1.0,2.0,nan,nan,1.5779862409772383,0.4727486666666667,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.0,0.0,1.0,0.31120000000000003,0.5461524444444444,0.7361602613250039,0.555736,0.1621356845456772,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.0,0.0,2.0,0.11980000000000002,0.5135757777777777,0.6768843580195626,0.5155597777777778,0.12152777777777778,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.0,0.0,3.0,0.4286,0.5115093333333334,0.9932106732485014,0.5197175555555555,0.20045291840163634,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.0,1.0,2.0,nan,nan,1.5252229584119161,0.4694882222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.0,1.0,3.0,nan,nan,1.8490218156234934,0.5341602222222221,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.5,0.0,1.0,0.5226000000000001,0.5136877777777777,0.6481284122255989,0.5418606666666667,0.02072538860103627,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.5,0.0,3.0,0.2434,0.5237782222222223,1.2503267736149848,0.52416,0.04938271604938271,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.5,1.0,1.0,nan,nan,1.5789001578329205,0.4903735555555555,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,0.5,1.0,3.0,nan,nan,1.8406555735414145,0.5236313333333332,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,1.0,0.0,1.0,0.662,0.5048042222222222,0.5463573786637892,0.5495253333333334,0.009180944119135401,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,1.0,0.0,3.0,0.3366,0.5109762222222223,1.1519697934938484,0.515046,0.0004306632213608958,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,1.0,1.0,1.0,nan,nan,1.5675814311483185,0.49164711111111115,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,1.0,1.0,2.0,nan,nan,1.590930155794468,0.47558333333333336,0.8888888888888888,
100.0,50.0,5.0,10.0,1.0,0.5,1.0,1.0,1.0,3.0,nan,nan,1.8663385646872002,0.52251,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.0,0.0,2.0,0.14,0.5719333333333333,17.568586412286233,0.5624,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.0,0.0,3.0,0.118,0.566,18.00183248417699,0.5602444444444444,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.0,1.0,1.0,nan,nan,36.29847173961645,0.5089777777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.0,1.0,2.0,nan,nan,37.15614068541807,0.47964444444444443,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.0,1.0,3.0,nan,nan,42.58364307716809,0.5497777777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.5,0.0,1.0,0.4446,0.5068106666666666,18.050599918702,0.5206157777777778,0.00791631325982471,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.5,1.0,1.0,nan,nan,37.45385643612244,0.49968466666666667,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,0.5,1.0,3.0,nan,nan,47.92742234098458,0.5167206666666666,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,1.0,0.0,2.0,0.10279999999999999,0.5005288888888889,11.309621696188485,0.5613244444444444,0.004210526315789474,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,1.0,1.0,2.0,nan,nan,39.649297260511126,0.47116,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.0,1.0,1.0,3.0,nan,nan,46.81210702060593,0.5147955555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.0,0.0,1.0,0.32,0.5489995555555556,19.979081305971825,0.5550213333333334,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.0,0.0,2.0,0.1402,0.5759793333333333,17.562807191932194,0.5621488888888889,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.0,1.0,1.0,nan,nan,36.29767049103432,0.5091868888888889,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.0,1.0,2.0,nan,nan,37.07514848753715,0.48014088888888895,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.0,1.0,3.0,nan,nan,42.60944255742905,0.5503182222222223,0.8888888888888888,
